titulo,autor_principal,rating,ratings_count,book_url,isbn10,isbn13,asin,source_name,source_file,row_number,autores,editorial,fecha_publicacion_raw,idioma_raw,categorias,precio,moneda,titulo_normalizado,idioma,fecha_publicacion,autores_list,categorias_list,anio_publicacion,longitud_titulo
Big Data: Principles and best practices of scalable realtime data systems,Nathan Marz,3.8200000000000003,490.0,https://www.goodreads.com/book/show/13421400-big-data?from_search=true&from_srp=true&qid=6B6veMOEHe&rank=11,1617290343,9781617290343,1617290343,goodreads,goodreads_books.json,11,,,,,,,,big data: principles and best practices of scalable realtime data systems,,,[],[],,73
The Efficiency Paradox: What Big Data Can't Do,Edward Tenner,3.29,304.0,https://www.goodreads.com/book/show/35881008-the-efficiency-paradox?from_search=true&from_srp=true&qid=6B6veMOEHe&rank=12,1400041392,9781400041398,1400041392,goodreads,goodreads_books.json,12,,,,,,,,the efficiency paradox: what big data can't do,,,[],[],,46
"Streaming, Sharing, Stealing: Big Data and the Future of Entertainment",Michael D.       Smith,3.95,625.0,https://www.goodreads.com/book/show/29889439-streaming-sharing-stealing?from_search=true&from_srp=true&qid=6B6veMOEHe&rank=13,0262034794,9780262034791,0262034794,goodreads,goodreads_books.json,13,,,,,,,,"streaming, sharing, stealing: big data and the future of entertainment",,,[],[],,70
"What To Do When Machines Do Everything: How to Get Ahead in a World of AI, Algorithms, Bots, and Big Data",Malcolm Frank,3.5700000000000003,495.0,https://www.goodreads.com/book/show/34026641-what-to-do-when-machines-do-everything?from_search=true&from_srp=true&qid=6B6veMOEHe&rank=14,,,B01N7UAGFJ,goodreads,goodreads_books.json,14,,,,,,,,"what to do when machines do everything: how to get ahead in a world of ai, algorithms, bots, and big data",,,[],[],,105
Big Data and Analytics,Subhashini Seema Acharya,4.1,129.0,https://www.goodreads.com/book/show/30133936-big-data-and-analytics?from_search=true&from_srp=true&qid=6B6veMOEHe&rank=15,8126554789,9788126554782,8126554789,goodreads,goodreads_books.json,15,,,,,,,,big data and analytics,,,[],[],,22
"Data Strategy: How to Profit from a World of Big Data, Analytics and the Internet of Things",Bernard Marr,3.77,412.0,https://www.goodreads.com/book/show/31851326-data-strategy?from_search=true&from_srp=true&qid=6B6veMOEHe&rank=16,074947985X,9780749479855,074947985X,goodreads,goodreads_books.json,16,,,,,,,,"data strategy: how to profit from a world of big data, analytics and the internet of things",,,[],[],,91
The Human Face of Big Data,Rick  Smolan,4.03,214.0,https://www.goodreads.com/book/show/15984950-the-human-face-of-big-data?from_search=true&from_srp=true&qid=6B6veMOEHe&rank=17,1454908270,9781454908272,1454908270,goodreads,goodreads_books.json,17,,,,,,,,the human face of big data,,,[],[],,26
"Big data @ work : dispelling the myths, uncovering the opportunities",Thomas H. Davenport,3.58,437.0,https://www.goodreads.com/book/show/18211094-big-data-work?from_search=true&from_srp=true&qid=6B6veMOEHe&rank=18,1422168166,9781422168165,1422168166,goodreads,goodreads_books.json,18,,,,,,,,"big data @ work : dispelling the myths, uncovering the opportunities",,,[],[],,68
"Big Data: Using SMART Big Data, Analytics and Metrics To Make Better Decisions and Improve Performance",Bernard Marr,3.59,411.0,https://www.goodreads.com/book/show/24520575-big-data?from_search=true&from_srp=true&qid=6B6veMOEHe&rank=19,,,B00S4TBEJK,goodreads,goodreads_books.json,19,,,,,,,,"big data: using smart big data, analytics and metrics to make better decisions and improve performance",,,[],[],,102
Python for Finance: Analyze Big Financial Data,Yves Hilpisch,3.7800000000000002,245.0,https://www.goodreads.com/book/show/22221113-python-for-finance?from_search=true&from_srp=true&qid=6B6veMOEHe&rank=20,1491945281,9781491945285,1491945281,goodreads,goodreads_books.json,20,,,,,,,,python for finance: analyze big financial data,,,[],[],,46
